,number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_f_0,params_f_1,params_f_10,params_f_100,params_f_101,params_f_102,params_f_103,params_f_104,params_f_105,params_f_106,params_f_107,params_f_108,params_f_109,params_f_11,params_f_110,params_f_111,params_f_112,params_f_113,params_f_114,params_f_115,params_f_116,params_f_117,params_f_118,params_f_119,params_f_12,params_f_120,params_f_121,params_f_122,params_f_123,params_f_124,params_f_125,params_f_126,params_f_127,params_f_128,params_f_129,params_f_13,params_f_130,params_f_131,params_f_132,params_f_133,params_f_134,params_f_135,params_f_136,params_f_137,params_f_138,params_f_139,params_f_14,params_f_140,params_f_141,params_f_142,params_f_143,params_f_144,params_f_145,params_f_146,params_f_147,params_f_148,params_f_149,params_f_15,params_f_150,params_f_151,params_f_152,params_f_153,params_f_154,params_f_155,params_f_156,params_f_157,params_f_158,params_f_159,params_f_16,params_f_160,params_f_161,params_f_162,params_f_163,params_f_164,params_f_165,params_f_17,params_f_18,params_f_19,params_f_2,params_f_20,params_f_21,params_f_22,params_f_23,params_f_24,params_f_25,params_f_26,params_f_27,params_f_28,params_f_29,params_f_3,params_f_30,params_f_31,params_f_32,params_f_33,params_f_34,params_f_35,params_f_36,params_f_37,params_f_38,params_f_39,params_f_4,params_f_40,params_f_41,params_f_42,params_f_43,params_f_44,params_f_45,params_f_46,params_f_47,params_f_48,params_f_49,params_f_5,params_f_50,params_f_51,params_f_52,params_f_53,params_f_54,params_f_55,params_f_56,params_f_57,params_f_58,params_f_59,params_f_6,params_f_60,params_f_61,params_f_62,params_f_63,params_f_64,params_f_65,params_f_66,params_f_67,params_f_68,params_f_69,params_f_7,params_f_70,params_f_71,params_f_72,params_f_73,params_f_74,params_f_75,params_f_76,params_f_77,params_f_78,params_f_79,params_f_8,params_f_80,params_f_81,params_f_82,params_f_83,params_f_84,params_f_85,params_f_86,params_f_87,params_f_88,params_f_89,params_f_9,params_f_90,params_f_91,params_f_92,params_f_93,params_f_94,params_f_95,params_f_96,params_f_97,params_f_98,params_f_99,params_period,params_window,system_attrs_nsga2:generation,state
2609,2609,-9.161260975728583,35.0,2.0,2023-06-01 18:48:35.894047,2023-06-01 18:48:39.068923,0 days 00:00:03.174876,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,29,16,52,COMPLETE
2329,2329,-9.0323501035671,33.0,2.0,2023-06-01 17:16:43.488886,2023-06-01 17:16:46.698899,0 days 00:00:03.210013,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,29,16,46,COMPLETE
2512,2512,-9.0323501035671,33.0,2.0,2023-06-01 18:15:46.508954,2023-06-01 18:15:49.673602,0 days 00:00:03.164648,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,29,16,50,COMPLETE
2316,2316,-9.005584978598437,35.0,2.0,2023-06-01 17:12:39.617235,2023-06-01 17:12:42.771259,0 days 00:00:03.154024,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,29,16,46,COMPLETE
1899,1899,-9.005584978598437,35.0,2.0,2023-06-01 15:05:47.261628,2023-06-01 15:05:50.366674,0 days 00:00:03.105046,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,29,16,37,COMPLETE
2546,2546,-9.005584978598437,35.0,2.0,2023-06-01 18:27:09.712048,2023-06-01 18:27:12.887750,0 days 00:00:03.175702,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,29,16,50,COMPLETE
2478,2478,-8.968981441999315,36.0,2.0,2023-06-01 18:04:30.640498,2023-06-01 18:04:33.860249,0 days 00:00:03.219751,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,30,16,49,COMPLETE
2611,2611,-8.968981441999315,36.0,2.0,2023-06-01 18:49:17.338973,2023-06-01 18:49:20.661234,0 days 00:00:03.322261,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,30,16,52,COMPLETE
2273,2273,-8.936991943633835,37.0,2.0,2023-06-01 16:58:35.629874,2023-06-01 16:58:39.039606,0 days 00:00:03.409732,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,30,16,45,COMPLETE
2631,2631,-8.92821701248802,35.0,2.0,2023-06-01 18:56:10.979753,2023-06-01 18:56:14.296058,0 days 00:00:03.316305,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,29,16,52,COMPLETE
